Algo_1,Algo_2,M,N
0.03699922561645508,1.222301959991455,50,18
0.66265869140625,0.42046594619750977,50,18
0.5495378971099854,0.5949294567108154,50,18
0.6114881038665771,0.6149206161499023,50,18
0.6581649780273438,0.27900171279907227,50,18
0.5679988861083984,0.5070011615753174,50,18
0.34099841117858887,0.5450012683868408,50,18
0.47699713706970215,0.31756114959716797,50,18
0.0019981861114501953,0.10100054740905762,50,18
0.03000044822692871,0.0989999771118164,50,18
0.6475520133972168,0.22757554054260254,50,18
0.1589953899383545,0.5210001468658447,50,18
0.6909992694854736,0.2930014133453369,50,18
0.49199771881103516,0.2670013904571533,50,18
0.33499789237976074,0.6670026779174805,50,18
0.10499739646911621,0.2720015048980713,50,18
0.3510000705718994,0.7905473709106445,50,18
0.06291556358337402,0.3938305377960205,50,18
0.0029993057250976562,0.03499913215637207,50,18
0.31942057609558105,0.23900222778320312,50,18
0.3379971981048584,0.3244590759277344,50,18
0.6349973678588867,0.24300408363342285,50,18
0.5465526580810547,0.20882654190063477,50,18
0.17499852180480957,0.9241712093353271,50,18
0.34799718856811523,1.1598389148712158,50,18
0.6130013465881348,0.3469967842102051,50,18
0.0019991397857666016,0.0019989013671875,50,18
0.46200060844421387,1.038999319076538,50,18
0.14099717140197754,0.6599998474121094,50,18
0.6389985084533691,0.30500197410583496,50,18
0.03000164031982422,0.840998649597168,50,18
0.5519976615905762,0.35000109672546387,50,18
0.5399987697601318,0.43000078201293945,50,18
0.10199809074401855,0.07300090789794922,50,18
0.6169984340667725,0.17800068855285645,50,18
0.0019979476928710938,0.026000261306762695,50,18
0.6189978122711182,0.24199962615966797,50,18
0.5589981079101562,0.2890031337738037,50,18
0.44300174713134766,0.15199995040893555,50,18
0.5499978065490723,0.22600126266479492,50,18
0.24999070167541504,0.4869999885559082,50,18
0.6729974746704102,0.293001651763916,50,18
0.14484643936157227,0.46608924865722656,50,18
0.32654595375061035,0.6098196506500244,50,18
0.001999378204345703,0.016998767852783203,50,18
0.10260534286499023,0.23330903053283691,50,18
0.5889976024627686,0.22329378128051758,50,18
0.25880002975463867,1.0889623165130615,50,18
0.5929996967315674,0.2670009136199951,50,18
0.45974206924438477,0.7092552185058594,50,18
