Algo_1 L,Algo_2 B,Algo_3 L20,Algo_4 L25,M,N,notes
0.17220783233642578,1.286475658416748,0.14163851737976074,0.07799935340881348,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.30720019340515137,0.48363590240478516,0.2105245590209961,0.14612197875976562,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3043971061706543,0.59185791015625,0.23410391807556152,0.1333305835723877,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.31392645835876465,0.5781867504119873,0.26970648765563965,0.12221336364746094,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.30063366889953613,1.091402530670166,0.31467413902282715,0.13699984550476074,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.17377877235412598,0.7597165107727051,0.10724902153015137,0.07999944686889648,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.17098355293273926,0.5290741920471191,0.09256601333618164,0.07483625411987305,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.32155776023864746,1.2357852458953857,0.1842801570892334,0.18011975288391113,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3284769058227539,0.3615224361419678,0.17016935348510742,0.18200016021728516,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.4595048427581787,0.7739293575286865,0.2655971050262451,0.2149965763092041,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3065783977508545,0.38500237464904785,0.2246861457824707,0.13655591011047363,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.4099397659301758,0.3731992244720459,0.2730095386505127,0.18781781196594238,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.31005001068115234,1.0706236362457275,0.25986170768737793,0.13432884216308594,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3259592056274414,0.4959108829498291,0.19797849655151367,0.16059374809265137,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.24300050735473633,0.646019458770752,0.10651373863220215,0.12416911125183105,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.30609583854675293,0.6788692474365234,0.2460010051727295,0.1360008716583252,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.318997859954834,0.1319289207458496,0.2191619873046875,0.1460895538330078,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3086681365966797,0.23989439010620117,0.1700000762939453,0.14233136177062988,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3109779357910156,0.2505066394805908,0.18524670600891113,0.12782788276672363,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.25501036643981934,1.501147985458374,0.20595264434814453,0.11907243728637695,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.344266414642334,0.442333459854126,0.25885796546936035,0.1452796459197998,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3170146942138672,0.4763524532318115,0.20134973526000977,0.16776609420776367,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3151555061340332,1.5290923118591309,0.30838489532470703,0.1413726806640625,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.4603307247161865,0.4688417911529541,0.350658655166626,0.22318291664123535,200,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
