Algo_1 L,Algo_2 B,Algo_3 L20,Algo_4 L25,M,N,notes
0.15199661254882812,0.06519842147827148,0.14099955558776855,0.06400036811828613,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.30498170852661133,0.14647507667541504,0.20596694946289062,0.1365797519683838,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.41214513778686523,0.18567776679992676,0.21905040740966797,0.1920158863067627,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.14055156707763672,0.058999061584472656,0.0874948501586914,0.057001590728759766,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.16836237907409668,0.06800293922424316,0.1640005111694336,0.0709989070892334,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3069949150085449,0.1289994716644287,0.23477578163146973,0.13651466369628906,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.14899826049804688,0.05999946594238281,0.09000015258789062,0.05800032615661621,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.31099891662597656,0.1295154094696045,0.3370518684387207,0.12900042533874512,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.2947862148284912,0.13711929321289062,0.14755940437316895,0.13800048828125,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.1660003662109375,0.06600022315979004,0.12955379486083984,0.06900167465209961,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.31246232986450195,0.1250004768371582,0.21799993515014648,0.13545680046081543,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3015129566192627,0.12599849700927734,0.2400045394897461,0.12455344200134277,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.14525127410888672,0.059000492095947266,0.11436843872070312,0.05899930000305176,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3079991340637207,0.1419985294342041,0.15000033378601074,0.15051698684692383,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.14799928665161133,0.06899666786193848,0.09099960327148438,0.0691986083984375,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.16046690940856934,0.05700182914733887,0.13500165939331055,0.05599808692932129,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.14299988746643066,0.054000139236450195,0.14700031280517578,0.056000471115112305,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.2970590591430664,0.12800049781799316,0.19609379768371582,0.12799906730651855,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3035144805908203,0.12099766731262207,0.1689908504486084,0.1300032138824463,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.1375136375427246,0.056000471115112305,0.11699986457824707,0.05300021171569824,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3099994659423828,0.12999987602233887,0.15151619911193848,0.1360006332397461,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.13699936866760254,0.04900026321411133,0.1379985809326172,0.04900002479553223,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3044734001159668,0.12199974060058594,0.23855805397033691,0.11499953269958496,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.29799962043762207,0.14139604568481445,0.17300009727478027,0.13499975204467773,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.30011773109436035,0.13036298751831055,0.2315375804901123,0.1325678825378418,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.2965505123138428,0.12156820297241211,0.16699981689453125,0.1270008087158203,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.2930004596710205,0.1335160732269287,0.2105417251586914,0.13399982452392578,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3000001907348633,0.12000036239624023,0.2810084819793701,0.12451934814453125,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3959953784942627,0.14999938011169434,0.2683708667755127,0.16158676147460938,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.16300034523010254,0.06410527229309082,0.13700056076049805,0.06199955940246582,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.2350003719329834,0.095001220703125,0.23013758659362793,0.0950002670288086,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3026313781738281,0.11299991607666016,0.2069990634918213,0.11255455017089844,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.1595172882080078,0.07399988174438477,0.08300042152404785,0.08199906349182129,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.41717529296875,0.17999911308288574,0.21799993515014648,0.21800017356872559,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.29900026321411133,0.11616373062133789,0.23154854774475098,0.11599969863891602,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.4166831970214844,0.18900108337402344,0.24000048637390137,0.20552325248718262,400,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
