Algo_1 L,Algo_2 B,Algo_3 L20,Algo_4 L25,M,N,notes
0.35838961601257324,0.2476346492767334,0.203704833984375,0.2567939758300781,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.4826812744140625,0.5929234027862549,0.33454370498657227,0.3095376491546631,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3592820167541504,0.4661998748779297,0.19441604614257812,0.22438907623291016,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.34621143341064453,0.6472668647766113,0.22092127799987793,0.18640351295471191,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.2680690288543701,1.798950433731079,0.1739974021911621,0.15462684631347656,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.528925895690918,0.383556604385376,0.24202251434326172,0.30475783348083496,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.16605305671691895,0.8656127452850342,0.09654641151428223,0.10256695747375488,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.33917832374572754,0.8118157386779785,0.2860257625579834,0.19070911407470703,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.16719484329223633,1.7271978855133057,0.17803025245666504,0.09199833869934082,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3345952033996582,1.0512070655822754,0.175307035446167,0.20719051361083984,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.4695301055908203,0.21000075340270996,0.2757894992828369,0.2635841369628906,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.4754505157470703,0.530580997467041,0.33496904373168945,0.29265522956848145,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.15594983100891113,0.40169620513916016,0.06799960136413574,0.08489036560058594,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3548297882080078,0.8179540634155273,0.2323591709136963,0.19420123100280762,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.503490686416626,0.8775784969329834,0.26076555252075195,0.2921173572540283,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3474102020263672,0.3802456855773926,0.2136540412902832,0.23599863052368164,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.17957735061645508,1.8316123485565186,0.15201902389526367,0.09928154945373535,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3432610034942627,0.7499053478240967,0.20305371284484863,0.20831799507141113,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3347916603088379,0.20322346687316895,0.20142865180969238,0.1887683868408203,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.4597773551940918,0.18611741065979004,0.2405860424041748,0.2526543140411377,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3449363708496094,0.44809484481811523,0.18406200408935547,0.18761062622070312,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.34384918212890625,0.29612207412719727,0.2039203643798828,0.21204066276550293,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.34956789016723633,0.5690629482269287,0.23314595222473145,0.1671607494354248,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.36205267906188965,0.5084357261657715,0.22256827354431152,0.15999960899353027,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.34484004974365234,0.44765734672546387,0.21264076232910156,0.19940447807312012,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3399169445037842,0.6296136379241943,0.18289399147033691,0.2129991054534912,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.19837212562561035,0.6740803718566895,0.1192162036895752,0.10599970817565918,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.18860316276550293,0.8177998065948486,0.16495800018310547,0.12350916862487793,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.28963780403137207,0.9813621044158936,0.17190337181091309,0.19543886184692383,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3536550998687744,0.5859205722808838,0.35808515548706055,0.19700002670288086,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.39699649810791016,0.8907027244567871,0.31584620475769043,0.23894143104553223,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.4029996395111084,0.4994978904724121,0.3489992618560791,0.2299797534942627,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.2070002555847168,0.30164027214050293,0.14200043678283691,0.1379997730255127,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3646078109741211,0.5451791286468506,0.20338916778564453,0.22344303131103516,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.2949554920196533,1.125075101852417,0.29801106452941895,0.20167231559753418,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.3842747211456299,0.4290008544921875,0.2631721496582031,0.2347548007965088,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
0.36611199378967285,0.682560920715332,0.2955615520477295,0.2575492858886719,500,18,"num subsets 为 90, algo_4 为使用更快算法的Lomonosov方法"
